anio,mes_id,mes,provincia_id,provincia,valor,var_intermensual,var_interanual
2014,12,diciembre,30,Entre Ríos,100,-,-
2015,1,enero,30,Entre Ríos,129.5,-,-
2015,2,febrero,30,Entre Ríos,130.3,0.60%,-
2015,3,marzo,30,Entre Ríos,130.9,0.50%,-
2015,4,abril,30,Entre Ríos,131.5,0.50%,-
2015,5,mayo,30,Entre Ríos,132.1,0.40%,-
2015,6,junio,30,Entre Ríos,132.8,0.50%,-
2015,7,julio,30,Entre Ríos,133.4,0.50%,-
2015,8,agosto,30,Entre Ríos,134.1,0.50%,-
2015,9,septiembre,30,Entre Ríos,134.9,0.60%,-
2015,10,octubre,30,Entre Ríos,135.7,0.60%,-
2015,11,noviembre,30,Entre Ríos,136.7,0.70%,-
2015,12,diciembre,30,Entre Ríos,148.5,8.60%,-
2016,1,enero,30,Entre Ríos,163.2,9.90%,26.00%
2016,2,febrero,30,Entre Ríos,173.5,6.30%,33.20%
2016,3,marzo,30,Entre Ríos,174.7,0.60%,33.40%
2016,4,abril,30,Entre Ríos,171.2,-2.00%,30.20%
2016,5,mayo,30,Entre Ríos,169.7,-0.90%,28.50%
2016,6,junio,30,Entre Ríos,197.6,16.40%,48.90%
2016,7,julio,30,Entre Ríos,202.5,2.40%,51.80%
2016,8,agosto,30,Entre Ríos,196,-3.20%,46.20%
2016,9,septiembre,30,Entre Ríos,205,4.60%,52.00%
2016,10,octubre,30,Entre Ríos,205.5,0.30%,51.50%
2016,11,noviembre,30,Entre Ríos,206.5,0.50%,51.10%
2016,12,diciembre,30,Entre Ríos,209.7,1.60%,41.20%
2017,1,enero,30,Entre Ríos,210.4,0.40%,29.00%
2017,2,febrero,30,Entre Ríos,210.9,0.20%,21.50%
2017,3,marzo,30,Entre Ríos,209.3,-0.80%,19.80%
2017,4,abril,30,Entre Ríos,210.2,0.40%,22.70%
2017,5,mayo,30,Entre Ríos,212.3,1.00%,25.10%
2017,6,junio,30,Entre Ríos,223.2,5.10%,12.90%
2017,7,julio,30,Entre Ríos,230.4,3.20%,13.80%
2017,8,agosto,30,Entre Ríos,232,0.70%,18.40%
2017,9,septiembre,30,Entre Ríos,231.5,-0.20%,12.90%
2017,10,octubre,30,Entre Ríos,233.1,0.70%,13.40%
2017,11,noviembre,30,Entre Ríos,234.1,0.40%,13.40%
2017,12,diciembre,30,Entre Ríos,244.3,4.30%,16.50%
2018,1,enero,30,Entre Ríos,253.1,3.60%,20.30%
2018,2,febrero,30,Entre Ríos,260.3,2.90%,23.50%
2018,3,marzo,30,Entre Ríos,263,1.00%,25.70%
2018,4,abril,30,Entre Ríos,263.2,0.10%,25.20%
2018,5,mayo,30,Entre Ríos,282.9,7.50%,33.30%
2018,6,junio,30,Entre Ríos,331,17.00%,48.30%
2018,7,julio,30,Entre Ríos,336.8,1.80%,46.20%
2018,8,agosto,30,Entre Ríos,358.1,6.30%,54.30%
2018,9,septiembre,30,Entre Ríos,421.7,17.80%,82.20%
2018,10,octubre,30,Entre Ríos,412.8,-2.10%,77.00%
2018,11,noviembre,30,Entre Ríos,418.6,1.70%,78.80%
2018,12,diciembre,30,Entre Ríos,428.1,2.30%,75.30%
2019,1,enero,30,Entre Ríos,436.3,1.91%,72.36%
2019,2,febrero,30,Entre Ríos,442.1,1.32%,69.83%
2019,3,marzo,30,Entre Ríos,461.6,4.42%,75.54%
2019,4,abril,30,Entre Ríos,482.3,4.47%,83.24%
2019,5,mayo,30,Entre Ríos,493.6,2.34%,74.44%
2019,6,junio,30,Entre Ríos,524.5,6.30%,58.50%
2019,7,julio,30,Entre Ríos,516.5,-1.53%,53.35%
2019,8,agosto,30,Entre Ríos,601.9,16.52%,68.10%
2019,9,septiembre,30,Entre Ríos,628.2,4.48%,49.30%
2019,10,octubre,30,Entre Ríos,651.6,4.14%,58.28%
2019,11,noviembre,30,Entre Ríos,662.2,1.61%,58.18%
2019,12,diciembre,30,Entre Ríos,663.4,0.19%,54.96%
2020,1,enero,30,Entre Ríos,664.3,0.14%,53.16%
2020,2,febrero,30,Entre Ríos,737.8,11.06%,66.88%
2020,3,marzo,30,Entre Ríos,758.4,2.80%,64.29%
2020,4,abril,30,Entre Ríos,784.7,3.47%,62.71%
2020,5,mayo,30,Entre Ríos,806.7,2.80%,63.44%
2020,6,junio,30,Entre Ríos,840.3,4.17%,60.20%
2020,7,julio,30,Entre Ríos,852.9,1.51%,65.13%
2020,8,agosto,30,Entre Ríos,864.8,1.39%,43.84%
2020,9,septiembre,30,Entre Ríos,877.5,1.47%,40.23%
2020,10,octubre,30,Entre Ríos,893.4,1.81%,37.09%
2020,11,noviembre,30,Entre Ríos,943.9,5.65%,42.54%
2020,12,diciembre,30,Entre Ríos,962.1,1.93%,45.03%
2021,1,enero,30,Entre Ríos,984.6,2.34%,48.22%
2021,2,febrero,30,Entre Ríos,1020.7,3.66%,37.77%
2021,3,marzo,30,Entre Ríos,1036.8,1.58%,36.71%
2021,4,abril,30,Entre Ríos,1049.8,1.25%,33.79%
2021,5,mayo,30,Entre Ríos,1058.8,0.86%,31.26%
2021,6,junio,30,Entre Ríos,1157.1,9.28%,37.70%
2021,7,julio,30,Entre Ríos,1163.5,0.56%,36.42%
2021,8,agosto,30,Entre Ríos,1169.9,0.55%,35.21%
2021,9,septiembre,30,Entre Ríos,1196.5,2.27%,36.36%
2021,10,octubre,30,Entre Ríos,1203.8,0.53%,34.64%
2021,11,noviembre,30,Entre Ríos,1224.5,1.80%,29.73%
2021,12,diciembre,30,Entre Ríos,1235.2,0.88%,28.39%
2022,1,enero,30,Entre Ríos,1260.9,2.08%,28.05%
2022,2,febrero,30,Entre Ríos,1342.8,6.50%,31.56%
2022,3,marzo,30,Entre Ríos,1365.0,1.66%,31.65%
2022,4,abril,30,Entre Ríos,1390.4,1.86%,32.44%
2022,5,mayo,30,Entre Ríos,1430.1,2.86%,35.06%
2022,6,junio,30,Entre Ríos,1599.9,11.87%,38.27%
2022,7,julio,30,Entre Ríos,1637.2,2.33%,40.71%
2022,8,agosto,30,Entre Ríos,1841.4,12.47%,57.40%
2022,9,septiembre,30,Entre Ríos,1904.1,3.40%,59.14%
2022,10,octubre,30,Entre Ríos,2003.7,5.23%,66.58%
